entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
crm:7025a3b17431b505,crm,crm,src,src,,Src, (New), (New),,, (Nuevo),,,,,,,frontend/src/components/ViewControls.vue:1211,frontend/src/components/ViewControls.vue:1211,frontend/src/components/ViewControls.vue:1176,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:30f67aa4c0660750,crm,crm,src,src,,Src,%John%,%John%,,,,,,,,,,frontend/src/components/Filter.vue:591,frontend/src/components/Filter.vue:591,frontend/src/components/Filter.vue:587,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:2358881db1812aec,crm,crm,src,src,,Src,(No Title),(No Title),,,(Sin título),,,,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:66,frontend/src/components/Calendar/CalendarEventPanel.vue:66,frontend/src/components/Calendar/CalendarEventPanel.vue:66,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:0ddb651f7e265abe,crm,crm,src,src,,Src,01/01/2022 to 01/31/2022,01/01/2022 to 01/31/2022,,,,,,,,,,frontend/src/components/Filter.vue:581,frontend/src/components/Filter.vue:581,frontend/src/components/Filter.vue:577,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:95131792c6a5f32c,crm,crm,src,src,,Src,01/04/2024 11:30 PM,01/04/2024 11:30 PM,,,01/04/2024 11:30 PM,,,,,,,frontend/src/components/Telephony/TaskPanel.vue:71,frontend/src/components/Telephony/TaskPanel.vue:71,frontend/src/components/Telephony/TaskPanel.vue:71,client-js,,[],,,,,,,igual al inglés válida,pendiente de segunda revisión,,,,,,,,
crm:9ce03d5efd98f796,crm,crm,src,src,,Src,08:00 AM,08:00 AM,,,,,,,,,,frontend/src/components/Calendar/EventNotifications.vue:39,frontend/src/components/Calendar/EventNotifications.vue:39,frontend/src/components/Calendar/EventNotifications.vue:39,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:eed5c2fbc4ef10c5,crm,crm,src,src,,Src,08:00 pm,08:00 pm,,,,,,,,,,frontend/src/components/Settings/CalendarSettings.vue:226,frontend/src/components/Settings/CalendarSettings.vue:226,frontend/src/components/Settings/CalendarSettings.vue:226,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:8d1a2ff54a535b31,crm,crm,src,src,,Src,1 hour ago,1 hour ago,,,Hace una hora,,,,,,,frontend/src/utils/index.js:204,frontend/src/utils/index.js:204,frontend/src/utils/index.js:204,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:c617f4aacf1be0a0,crm,crm,src,src,,Src,1 hr,1 hr,,,1 hora,,,,,,,frontend/src/composables/event.js:207,frontend/src/composables/event.js:207,frontend/src/composables/event.js:207,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:ac5b83438110452f,crm,crm,src,src,,Src,1 minute ago,1 minute ago,,,Hace un minuto,,,,,,,frontend/src/utils/index.js:200,frontend/src/utils/index.js:200,frontend/src/utils/index.js:200,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:9cc04dc75e0cfaec,crm,crm,src,src,,Src,1 month ago,1 month ago,,,Hace 1 mes,,,,,,,frontend/src/utils/index.js:219,frontend/src/utils/index.js:219,frontend/src/utils/index.js:219,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
