entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
hrms:b8f816975562dfaf,hrms,hrms,payroll,payroll,,Nómina, Salary slips starting on or after this date will be considered for arrear calculations, Salary slips starting on or after this date will be considered for arrear calculations,,,,, Los recibos de nómina que inicien en esta fecha o después se considerarán para los cálculos de retroactivos,,Description of the 'Arrear Start Date' (Date) field in DocType 'Arrear',descripción,,hrms/payroll/doctype/arrear/arrear.json,hrms/payroll/doctype/arrear/arrear.json,hrms/payroll/doctype/arrear/arrear.json,doctype-json,Arrear,"[""Description of the 'Arrear Start Date' (Date) field in DocType 'Arrear'""]",,,,,,,traducción propuesta,revisado segunda revisión HRMS,sí,sí,,,preserva espacio inicial; Arrear→retroactivos,,,
hrms:f3a463b18c85d83d,hrms,hrms,hr,hr,,Recursos Humanos, Unlink Payment on Cancellation of Employee Advance, Unlink Payment on Cancellation of Employee Advance,,, Desvinculación de Pago en la cancelación del anticipo del empleado,, Desvincular pago al cancelar el anticipo del empleado,,Label of the unlink_payment_on_cancellation_of_employee_advance (Check) field in DocType 'HR Settings',etiqueta de campo/elemento,,hrms/hr/doctype/hr_settings/hr_settings.json,hrms/hr/doctype/hr_settings/hr_settings.json,hrms/hr/doctype/hr_settings/hr_settings.json,doctype-json,Hr Settings,"[""Label of the unlink_payment_on_cancellation_of_employee_advance (Check) field in DocType 'HR Settings'""]",,,,,,,existente mejorable,revisado segunda revisión HRMS,sí,sí,,,Etiqueta Check; se elimina espacio inicial y se usa infinitivo de acción.,,,
hrms:1e39cb0041000a43,hrms,hrms,hr,hr,,Recursos Humanos,"""From Date"" can not be greater than or equal to ""To Date""","""From Date"" can not be greater than or equal to ""To Date""",,,La fecha 'Desde' no puede ser mayor que la fecha 'Hasta',,La fecha 'Desde' no puede ser mayor que la fecha 'Hasta',,,,,hrms/hr/report/employee_leave_balance/employee_leave_balance.py:23,hrms/hr/report/employee_leave_balance/employee_leave_balance.py:23,hrms/hr/report/employee_leave_balance/employee_leave_balance.py:23,report,,[],,,,,,,existente correcta,revisado segunda revisión HRMS,sí,sí,,,,,,
hrms:e2992c415949cd65,hrms,hrms,hr,hr,,Recursos Humanos,% Utilization (B + NB) / T,% Utilization (B + NB) / T,,,% Utilización (B + NB) / T,,% Utilización (B + NB) / T,,,,,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:86,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:86,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:86,report,,[],,,,,,,existente correcta,revisado segunda revisión HRMS,sí,,,,Fórmula con siglas.,,,
hrms:546408c9569e1deb,hrms,hrms,hr,hr,,Recursos Humanos,% Utilization (B / T),% Utilization (B / T),,,% Utilización (B / T),,% Utilización (B / T),,,,,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:92,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:92,hrms/hr/report/employee_hours_utilization_based_on_timesheet/employee_hours_utilization_based_on_timesheet.py:92,report,,[],,,,,,,existente correcta,revisado segunda revisión HRMS,sí,sí,,,Correcta.,,,
hrms:72331aeae017cb38,hrms,hrms,hr,hr,,Recursos Humanos,'employee_field_value' and 'timestamp' are required.,'employee_field_value' and 'timestamp' are required.,,,&#39;employee_field_value&#39; y &#39;timestamp&#39; son obligatorios.,,&#39;employee_field_value&#39; y &#39;timestamp&#39; son obligatorios.,,,,,hrms/hr/doctype/employee_checkin/employee_checkin.py:157,hrms/hr/doctype/employee_checkin/employee_checkin.py:157,hrms/hr/doctype/employee_checkin/employee_checkin.py:157,doctype-controller,Employee Checkin,[],,,,,,,existente correcta,revisado segunda revisión HRMS,sí,sí,,,Entidades HTML y campos preservados,,,
hrms:0a47f4e07edb27da,hrms,hrms,hr,hr,,Recursos Humanos,'employee_fieldname' must be one of {0}.,'employee_fieldname' must be one of {0}.,,,,,'employee_fieldname' debe ser uno de {0}.,,,,,hrms/hr/doctype/employee_checkin/employee_checkin.py:162,hrms/hr/doctype/employee_checkin/employee_checkin.py:162,,doctype-controller,Employee Checkin,[],{0},,{0},ok,,,traducción propuesta,revisado segunda revisión HRMS,sí,sí,,,Conserva identificador de campo,,,"POT-only: en el universo fresco, sin traducir"
hrms:9ccf28ddbfdecf6d,hrms,hrms,hr,hr;payroll,sí,Recursos Humanos,) for {0},) for {0},,,) para {0},,) para {0},,,,,hrms/hr/utils.py:254,hrms/hr/utils.py:254 || hrms/payroll/doctype/payroll_period/payroll_period.py:53,hrms/hr/utils.py:252 || hrms/payroll/doctype/payroll_period/payroll_period.py:53,python,,[],{0},{0},{0},ok,,,existente correcta,revisado segunda revisión HRMS,sí,sí,,,,,,
hrms:abbd28162e286c10,hrms,hrms,hr,hr,,Recursos Humanos,...Fetching Employees,...Fetching Employees,,,...Recuperando empleados,,...Recuperando empleados,,,,,hrms/hr/doctype/employee_attendance_tool/employee_attendance_tool.js:54,hrms/hr/doctype/employee_attendance_tool/employee_attendance_tool.js:54,hrms/hr/doctype/employee_attendance_tool/employee_attendance_tool.js:54,doctype-controller,Employee Attendance Tool,[],,,,,,,existente correcta,revisado segunda revisión HRMS,sí,sí,,,,,,
hrms:6f77eb5be1c12f57,hrms,hrms,hr,hr,,Recursos Humanos,0.25,0.25,,,0.20,,0.25,,Option for the 'Rounding' (Select) field in DocType 'Leave Type',opción de campo select,,hrms/hr/doctype/leave_type/leave_type.json,hrms/hr/doctype/leave_type/leave_type.json,hrms/hr/doctype/leave_type/leave_type.json,doctype-json,Leave Type,"[""Option for the 'Rounding' (Select) field in DocType 'Leave Type'""]",,,,,,,existente mejorable,revisado segunda revisión HRMS,sí,sí,,,"Opcion numerica; msgstr debe igualar msgid, estaba '0.20'",,,
