app,module,source_text,current_translation,proposed_translation,context,source_reference,doctype_or_view,field_or_action,translation_context,status,notes,msgctxt,origin_app,po_reference,v15_reference,placeholders,pluralization,v15_translation,es_mx_reference,es_mx_translation,source_kind,user_role,functional_domain
frappe,Core,Submit,,Enviar,Plataforma,frappe/core/doctype/custom_docperm/custom_docperm.json,Custom Docperm,botón/acción,,traducción propuesta,Confirma el documento (estado Submitted). Candidata a contribución al core. msgid con 6 contextos en el catálogo (posible conflicto).,,frappe,frappe/core/doctype/custom_docperm/custom_docperm.json,,,,,,,doctype-json,todos,Plataforma
frappe,Core,Cancel,Cancelar,Cancelar,Plataforma,frappe/core/doctype/custom_docperm/custom_docperm.json,Custom Docperm,botón/acción,,existente correcta,Cancela documento confirmado. Genérica; candidata a core. msgid con 3 contextos en el catálogo (posible conflicto).,,frappe,frappe/core/doctype/custom_docperm/custom_docperm.json,,,,,,,doctype-json,todos,Plataforma
frappe,Core,Amend,Corregir,Enmendar,Plataforma,frappe/core/doctype/custom_docperm/custom_docperm.json,Custom Docperm,botón/acción,,existente mejorable,Crea versión enmendada de un documento cancelado. 'Enmendar' correcto; verificar consistencia.,,frappe,frappe/core/doctype/custom_docperm/custom_docperm.json,,,,,,,doctype-json,todos,Plataforma
frappe,Integration,Save,,Guardar,Plataforma,cypress/integration/web_form.js:52,,botón/acción,,traducción propuesta,,,frappe,cypress/integration/web_form.js:52,,,,,,,client-js,todos,Plataforma
frappe,Public,Draft,,Borrador,Plataforma,frappe/public/js/frappe/model/indicator.js:73,,estado,,traducción propuesta,Estado docstatus=0. Coherente.,,frappe,frappe/public/js/frappe/model/indicator.js:73,,,,,,,client-js,todos,Plataforma
frappe,Desk,Assignment,Asignación,Asignación,Plataforma,frappe/desk/doctype/notification_log/notification_log.json,Notification Log,título,,existente correcta,,,frappe,frappe/desk/doctype/notification_log/notification_log.json,,,,,,,doctype-json,todos,Plataforma
frappe,Workflow,Workflow Action,,Acción de flujo de trabajo,Plataforma,frappe/workflow/doctype/workflow_action/workflow_action.json,Workflow Action,título,,traducción propuesta,,,frappe,frappe/workflow/doctype/workflow_action/workflow_action.json,,,,,,,doctype-json,admin,Plataforma
frappe,Custom,Rename,,Renombrar,Plataforma,frappe/custom/doctype/custom_field/custom_field.js:138,Custom Field,acción,,traducción propuesta,,,frappe,frappe/custom/doctype/custom_field/custom_field.js:138,,,,,,,doctype-controller,todos,Plataforma
frappe,Public,Duplicate,,Duplicar,Plataforma,frappe/public/js/frappe/form/grid_row_form.js:44,,acción,,traducción propuesta,,,frappe,frappe/public/js/frappe/form/grid_row_form.js:44,,,,,,,client-js,todos,Plataforma
frappe,,This field is mandatory,,Este campo es obligatorio,Plataforma,,,mensaje de validación,,traducción propuesta,Mensaje frecuente; español claro.,,frappe,,,,,,,,no-encontrada-en-catalogo,todos,Plataforma
