app,doctype_tecnico,es_actual,es_propuesta,entry_key,referencias,cambio_visible,impacto_cursos_docs,estado
erpnext,Account Closing Balance,Balance de Cierre de Cuenta,Saldo de Cierre de Cuenta,erpnext:3ec09984e0dded53,erpnext/accounts/doctype/account_closing_balance/account_closing_balance.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Accounting Dimension Filter,Filtro de dimensión contable,Filtro de Dimensión Contable,erpnext:7ffa28ba069ec431,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Advance Payment Ledger Entry,Asiento contable de pago anticipado,Asiento de Libro Mayor de Anticipos de Pago,erpnext:bb2c08e3c66e1888,erpnext/accounts/doctype/advance_payment_ledger_entry/advance_payment_ledger_entry.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Advance Taxes And Charges,Impuestos y Cargos anticipados,Impuestos y Cargos Anticipados,erpnext:094f9b1fd7980c03,erpnext/accounts/doctype/advance_taxes_and_charges/advance_taxes_and_charges.json || erpnext/accounts/doctype/payment_entry/payment_entry.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Allowed To Transact With,Permitido para realizar Transacciones con,Permitido para Realizar Transacciones Con,erpnext:0108120ecc469080,erpnext/accounts/doctype/allowed_to_transact_with/allowed_to_transact_with.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Appointment Booking Slots,Ranuras de reserva de citas,Franjas de reserva de citas,erpnext:aa8370e85bd14f2d,erpnext/crm/doctype/appointment_booking_slots/appointment_booking_slots.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Capitalization Asset Item,Capitalización de Activo Artículo de Activo,Artículo de Activo de Capitalización de Activos,erpnext:231f1252372e623c,erpnext/assets/doctype/asset_capitalization_asset_item/asset_capitalization_asset_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Capitalization Service Item,Capitalización de Activo Artículo de Servicio,Artículo de Servicio de Capitalización de Activo,erpnext:e06f74bd1ea0dd7e,erpnext/assets/doctype/asset_capitalization_service_item/asset_capitalization_service_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Capitalization Stock Item,Capitalización de Activo Articulo de Stock,Artículo de Inventario de Capitalización de Activos,erpnext:cf4cae9759f44b47,erpnext/assets/doctype/asset_capitalization_stock_item/asset_capitalization_stock_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Depreciation Schedule,Calendario de depreciación de Activo,Calendario de Depreciación de Activos,erpnext:70294309cf403aac,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
