entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
erpnext:898e4188389ab16b,erpnext,erpnext,accounts,accounts,,Contabilidad, Amount, Amount,,, Importe,, Importe,,,,,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:611,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:611,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:611,report,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Amount=Importe; conserva espacio inicial del origen.,,,
erpnext:255d03e448d82f85,erpnext,erpnext,accounts,accounts;selling,sí,Contabilidad, Name, Name,,, Nombre,, Nombre,,,,,erpnext/accounts/report/customer_ledger_summary/customer_ledger_summary.py:151,erpnext/accounts/report/customer_ledger_summary/customer_ledger_summary.py:151 || erpnext/selling/report/sales_analytics/sales_analytics.py:128,erpnext/accounts/report/customer_ledger_summary/customer_ledger_summary.py:151 || erpnext/selling/report/sales_analytics/sales_analytics.py:128,report,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,,,,
erpnext:9b84262b3a632035,erpnext,erpnext,accounts,accounts,,Contabilidad, Rate, Rate,,, Precio,, Precio,,,,,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:602,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:602,erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:602,report,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,"'Rate' con espacio inicial preservado; 'Precio' desalineado, Rate->Tarifa.",,,
erpnext:de88c585d124037c,erpnext,erpnext,accounts,accounts,,Contabilidad,% Of Grand Total,% Of Grand Total,,,% del Total General,,% del Total General,,,,,erpnext/accounts/report/item_wise_purchase_register/item_wise_purchase_register.py:283,erpnext/accounts/report/item_wise_purchase_register/item_wise_purchase_register.py:283 || erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:337,erpnext/accounts/report/item_wise_purchase_register/item_wise_purchase_register.py:283 || erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py:337,report,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Grand Total -> Total General; correcto.,,,
erpnext:e1319dfbc5c700bb,erpnext,erpnext,accounts,accounts,,Contabilidad,'Entries' cannot be empty,'Entries' cannot be empty,,,'Entradas' no pueden estar vacías,,'Entradas' no pueden estar vacías,,,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:1234,erpnext/accounts/doctype/journal_entry/journal_entry.py:1234,erpnext/accounts/doctype/journal_entry/journal_entry.py:1234,doctype-controller,Journal Entry,[],,,,,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Journal Entry 'Entries'; aceptable.,,,
erpnext:514eef65469f3ab6,erpnext,erpnext,accounts,accounts,,Contabilidad,'Update Stock' cannot be checked for fixed asset sale,'Update Stock' cannot be checked for fixed asset sale,,,'Actualización de Inventario' no se puede comprobar en venta de activos fijos,,'Actualización de Inventario' no se puede marcar para la venta de activos fijos,,,,,erpnext/accounts/doctype/sales_invoice/sales_invoice.py:434,erpnext/accounts/doctype/sales_invoice/sales_invoice.py:434,erpnext/accounts/doctype/sales_invoice/sales_invoice.py:434,doctype-controller,Sales Invoice,[],,,,,,,existente mejorable,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Ajuste menor: 'comprobar'->'marcar' (checkbox).,,,
erpnext:066e9d46f3f13197,erpnext,erpnext,accounts,accounts,,Contabilidad,'{0}' account is already used by {1}. Use another account.,'{0}' account is already used by {1}. Use another account.,,,La cuenta de '{0}' ya está siendo utilizada por {1}. Utilice otra cuenta.,,La cuenta de '{0}' ya está siendo utilizada por {1}. Utilice otra cuenta.,,,,,erpnext/accounts/doctype/bank_account/bank_account.py:79,erpnext/accounts/doctype/bank_account/bank_account.py:79,erpnext/accounts/doctype/bank_account/bank_account.py:79,doctype-controller,Bank Account,[],{0};{1},{0};{1},{0};{1},ok,,,existente correcta,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Preserva {0} {1}.,,,
erpnext:c14052709311e976,erpnext,erpnext,accounts,accounts,,Transversal,'{0}' has been already added.,'{0}' has been already added.,,,'{0}' ya ha sido añadido.,,'{0}' ya ha sido añadido.,,Placeholder {0} preservado correctamente en la traducción actual.,mensaje de validación,todos,erpnext/accounts/doctype/pos_settings/pos_settings.py:44,erpnext/accounts/doctype/pos_settings/pos_settings.py:44,erpnext/accounts/doctype/pos_settings/pos_settings.py:44,doctype-controller,Pos Settings,[],{0},{0},{0},ok,,,existente correcta,revisado (muestra etapa 2),sí,,,,Placeholder {0} preservado correctamente en la traducción actual.,,,
erpnext:a9beb43b01165f80,erpnext,erpnext,accounts,accounts,,Contabilidad,(Purchase Order + Material Request + Actual Expense),(Purchase Order + Material Request + Actual Expense),,,(Orden de compra + Solicitud de material + Gasto real),,(Orden de compra + Solicitud de materiales + Gasto real),,Description of the 'Applicable on Cumulative Expense' (Check) field in DocType 'Budget',descripción,,erpnext/accounts/doctype/budget/budget.json,erpnext/accounts/doctype/budget/budget.json,erpnext/accounts/doctype/budget/budget.json,doctype-json,Budget,"[""Description of the 'Applicable on Cumulative Expense' (Check) field in DocType 'Budget'""]",,,,,,,existente mejorable,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,Correcto.,,,
erpnext:014bdd390828d053,erpnext,erpnext,accounts,accounts,,Contabilidad,(including),(including),,,(incluso),,(inclusive),,Description of the 'From No' (Int) field in DocType 'Share Transfer',descripción,,erpnext/accounts/doctype/share_transfer/share_transfer.json,erpnext/accounts/doctype/share_transfer/share_transfer.json,erpnext/accounts/doctype/share_transfer/share_transfer.json,doctype-json,Share Transfer,"[""Description of the 'From No' (Int) field in DocType 'Share Transfer'"", ""Description of the 'To No' (Int) field in DocType 'Share Transfer'""]",,,,,,,existente mejorable,revisado segunda revisión ERPNext contabilidad finanzas,sí,sí,,,'incluso' es incorrecto; rango inclusivo → 'inclusive'.,,,
