entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
frappe:47721d194710abe7,frappe,frappe,public,public,,Public, You are impersonating as another user., You are impersonating as another user.,,,,, Está usando la cuenta de otro usuario.,,,,,frappe/public/js/frappe/ui/page.html:49,frappe/public/js/frappe/ui/page.html:49,,jinja-html,,[],,,,,,,traducción propuesta,revisado segunda revisión Frappe 2,sí,sí,,,,,,"POT-only: en el universo fresco, sin traducir"
frappe:baed17b14ee92c9b,frappe,frappe,core,core,,Plataforma,!=,!=,,,!=,,!=,,Option for the 'Condition' (Select) field in DocType 'Document Naming Rule Condition',opción de campo select,,frappe/core/doctype/document_naming_rule_condition/document_naming_rule_condition.json,frappe/core/doctype/document_naming_rule_condition/document_naming_rule_condition.json,frappe/core/doctype/document_naming_rule_condition/document_naming_rule_condition.json,doctype-json,Document Naming Rule Condition,"[""Option for the 'Condition' (Select) field in DocType 'Document Naming Rule Condition'""]",,,,,,,igual al inglés válida,revisado segunda revisión Frappe 3,sí,,,,Operador; no se traduce.,,,
frappe:2cab880c7171dac5,frappe,frappe,website,website,,Sitio Web,"""Company History""","""Company History""",,,"""Historia de la Compañía""",,"""Historia de la empresa""",,Description of the 'Org History Heading' (Data) field in DocType 'About Us Settings',descripción,,frappe/website/doctype/about_us_settings/about_us_settings.json,frappe/website/doctype/about_us_settings/about_us_settings.json,frappe/website/doctype/about_us_settings/about_us_settings.json,doctype-json,About Us Settings,"[""Description of the 'Org History Heading' (Data) field in DocType 'About Us Settings'""]",,,,,,,existente mejorable,revisado segunda revisión Frappe 3,sí,sí,,,'Compañía'->'empresa' (más común en MX); minúscula.,,,
frappe:b20bc482a37120cf,frappe,frappe,core,core,,Plataforma,"""Parent"" signifies the parent table in which this row must be added","""Parent"" signifies the parent table in which this row must be added",,,"""Padre"" significa la tabla padre en la que debe añadirse esta fila",,"""Padre"" significa la tabla padre en la que debe añadirse esta fila",,,,,frappe/core/doctype/data_export/exporter.py:202,frappe/core/doctype/data_export/exporter.py:202,frappe/core/doctype/data_export/exporter.py:202,doctype-controller,Data Export,[],,,,,,,existente correcta,revisado segunda revisión Frappe 3,sí,sí,,,,,,
frappe:0a0f6cf64046bbda,frappe,frappe,website,website,,Sitio Web,"""Team Members"" or ""Management""","""Team Members"" or ""Management""",,,"""Miembros del equipo"" o ""Administración""",,"""Miembros del equipo"" o ""Administración""",,Description of the 'Team Members Heading' (Data) field in DocType 'About Us Settings',descripción,,frappe/website/doctype/about_us_settings/about_us_settings.json,frappe/website/doctype/about_us_settings/about_us_settings.json,frappe/website/doctype/about_us_settings/about_us_settings.json,doctype-json,About Us Settings,"[""Description of the 'Team Members Heading' (Data) field in DocType 'About Us Settings'""]",,,,,,,existente correcta,revisado segunda revisión Frappe 3,sí,,,,Ejemplo de encabezado; correcta.,,,
frappe:33c50896df64257c,frappe,frappe,public,public,,Public,"""amended_from"" field must be present to do an amendment.","""amended_from"" field must be present to do an amendment.",,,"El campo ""amended_from"" debe estar presente para hacer una modificación.",,"El campo ""amended_from"" debe estar presente para hacer una modificación.",,,,,frappe/public/js/frappe/form/form.js:1130,frappe/public/js/frappe/form/form.js:1130,frappe/public/js/frappe/form/form.js:1093,client-js,,[],,,,,,,existente correcta,revisado segunda revisión Frappe 3,sí,sí,,,'amendment'=enmienda; fieldname técnico conservado.,,,
frappe:9ed73700130a1ca7,frappe,frappe,utils,utils,,Utils,"""{0}"" is not a valid Google Sheets URL","""{0}"" is not a valid Google Sheets URL",,,"""{0}"" no es una URL válida de Google Sheets",,"""{0}"" no es una URL válida de Google Sheets",,,,,frappe/utils/csvutils.py:246,frappe/utils/csvutils.py:246,frappe/utils/csvutils.py:246,python,,[],{0},{0},{0},ok,,,existente correcta,revisado segunda revisión Frappe 3,sí,,,,,,,
frappe:d48471b9c56fde26,frappe,frappe,public,public,,Public,#{0},#{0},,,#{0},,#{0},,,,,frappe/public/js/frappe/ui/toolbar/tag_utils.js:21,frappe/public/js/frappe/ui/toolbar/tag_utils.js:21 || frappe/public/js/frappe/ui/toolbar/tag_utils.js:22,frappe/public/js/frappe/ui/toolbar/tag_utils.js:21 || frappe/public/js/frappe/ui/toolbar/tag_utils.js:22,client-js,,[],{0},{0},{0},ok,,,igual al inglés válida,revisado segunda revisión Frappe 3,sí,,,,Solo formato de etiqueta.,,,
frappe:28945e2b5b018077,frappe,frappe,core,core,,Plataforma,${values.doctype_name} has been added to queue for optimization,${values.doctype_name} has been added to queue for optimization,,,${values.doctype_name} se ha agregado a la cola para optimización,,${values.doctype_name} se ha agregado a la cola para optimización,,,,,frappe/core/report/database_storage_usage_by_tables/database_storage_usage_by_tables.js:36,frappe/core/report/database_storage_usage_by_tables/database_storage_usage_by_tables.js:36,frappe/core/report/database_storage_usage_by_tables/database_storage_usage_by_tables.js:36,report,,[],${values.doctype_name},${values.doctype_name},${values.doctype_name},ok,,,existente correcta,revisado segunda revisión Frappe 3,sí,sí,,,,,,
frappe:0438d7784c32dd9e,frappe,frappe,public,public,,Public,&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. and contributors,,,&copy; Frappe Technologies Pvt. Ltd. y colaboradores,,&copy; Frappe Technologies Pvt. Ltd. y colaboradores,,,,,frappe/public/js/frappe/ui/toolbar/about.js:68,frappe/public/js/frappe/ui/toolbar/about.js:68,frappe/public/js/frappe/ui/toolbar/about.js:11,client-js,,[],,,,,,,existente correcta,revisado segunda revisión Frappe 3,sí,sí,,,Nombre propio conservado.,,,
