class,ctx,msgid_new,msgid_old,tr_old,similarity,placeholders,locs
nueva,,"<p>Dear {{ lead_name }},</p>

<p>This is a reminder for the payment of {{ grand_total }}.</p>

<p>Thanks,</p>
<p>Frappé</p>",,,,{{ grand_total };{{ lead_name },frontend/src/components/Settings/EmailTemplate/EditEmailTemplate.vue:94;frontend/src/components/Settings/EmailTemplate/NewEmailTemplate.vue:95
nueva,,Automatically sets communication status to “Open” for the lead or deal when a new communication is created. Applies only when SLA is enabled,,,,,frontend/src/components/Settings/GeneralSettings.vue:64
nueva,,Automatically sets communication status to “Replied” for the lead or deal when a response is received. Applies only when SLA is enabled,,,,,frontend/src/components/Settings/GeneralSettings.vue:42
nueva,,Bidirectional Product Sync,,,,,crm/fcrm/doctype/erpnext_crm_settings/erpnext_crm_settings.json;frontend/src/components/Settings/ERPNextSettings.vue:216
nueva,,"Could not save, try again",,,,,frontend/src/components/PrimaryDropdownItem.vue:181;frontend/src/components/PrimaryDropdownItem.vue:188
nueva,,Current icon,,,,,frontend/src/components/Modals/ViewModal.vue:35
nueva,,"Dear {{ lead_name }}, 

This is a reminder for the payment of {{ grand_total }}. 

Thanks, 
Frappé",,,,{{ grand_total };{{ lead_name },frontend/src/components/Settings/EmailTemplate/EditEmailTemplate.vue:110;frontend/src/components/Settings/EmailTemplate/NewEmailTemplate.vue:111
nueva,,"Document ID, not the full name",,,,,frontend/src/components/Filter.vue:239
nueva,,Edit deal's mandatory fields layout,,,,,frontend/src/components/Modals/ConvertToDealModal.vue:14
nueva,,Email address added,,,,,frontend/src/composables/useContactFields.ts:67
nueva,,Email address removed,,,,,frontend/src/composables/useContactFields.ts:98
nueva,,Email address updated,,,,,frontend/src/composables/useContactFields.ts:88
nueva,,ERPNext Items always sync into CRM Products. Turn this on to also sync CRM Product changes back to ERPNext Items.,,,,,frontend/src/components/Settings/ERPNextSettings.vue:220
nueva,,"Hi John, 

Can you please provide more details on this...",,,,,frontend/src/components/CommunicationArea.vue:56
nueva,,Invalid recording URL,,,,,crm/integrations/api.py:176;crm/integrations/api.py:180
nueva,,item,,,,,frontend/src/components/Settings/ERPNextSettings.vue:561
nueva,,Item Group,,,,,frontend/src/components/Settings/ERPNextSettings.vue:405
nueva,,items,,,,,frontend/src/components/Settings/ERPNextSettings.vue:561
nueva,,Manual Sync,,,,,frontend/src/components/Settings/ERPNextSettings.vue:243
nueva,,Mobile number added,,,,,frontend/src/composables/useContactFields.ts:68
nueva,,Mobile number removed,,,,,frontend/src/composables/useContactFields.ts:99
nueva,,Mobile number updated,,,,,frontend/src/composables/useContactFields.ts:89
nueva,,Personal Mobile Number,,,,,frontend/src/components/Settings/Telephony/TelephonySettings.vue:120
nueva,,Please enter a valid email address,,,,,frontend/src/composables/useContactFields.ts:104
nueva,,Please enter a valid phone number,,,,,frontend/src/composables/useContactFields.ts:107
nueva,,Primary email address updated,,,,,frontend/src/composables/useContactFields.ts:52
nueva,,Primary mobile number updated,,,,,frontend/src/composables/useContactFields.ts:53
nueva,,product,,,,,frontend/src/components/Settings/ERPNextSettings.vue:565
nueva,,Product sync started.,,,,,frontend/src/components/Settings/ERPNextSettings.vue:497
nueva,,products,,,,,frontend/src/components/Settings/ERPNextSettings.vue:565
nueva,,Recording not available,,,,,frontend/src/components/Modals/CallLogDetailModal.vue:106
nueva,,Recording URL is not allowed,,,,,crm/integrations/api.py:184
nueva,,Replace with an icon...,,,,,frontend/src/components/Modals/ViewModal.vue:45
nueva,,Run a manual bi-directional sync between ERPNext Items and CRM Products.,,,,,frontend/src/components/Settings/ERPNextSettings.vue:248
nueva,,Run a manual synchronization to pull the latest Items from ERPNext.,,,,,frontend/src/components/Settings/ERPNextSettings.vue:251
nueva,,Select an icon...,,,,,frontend/src/components/Modals/ViewModal.vue:46
nueva,,Select Country to see state options,,,,,frontend/src/utils/fieldTransforms.js:113
nueva,,Too many redirects while fetching recording,,,,,crm/integrations/api.py:247
nueva,,Type an email address to invite,,,,,frontend/src/components/Controls/MultiSelectEmailInput.vue:73;frontend/src/components/Controls/MultiSelectUserInput.vue:73
nueva,,{0} not yet synced,,,,{0},frontend/src/components/Settings/ERPNextSettings.vue:569
rename,,Sync successful!,Sync Successful!,¡Sincronización exitosa!,1.0,,
rename,,Please enter the {0} access key.,Please enter the {0} Access Key.,Ingrese la clave de acceso de {0}.,1.0,{0},
rename,,Template deleted successfully,Template Deleted Successfully,Plantilla eliminada correctamente,1.0,,
rename,,Error syncing lead,Error Syncing Lead,Error al sincronizar el Lead,1.0,,
rename,,Configure your Exotel telephony integration settings here,Configure your Exotel Telephony Integration Settings here,Configure aquí los ajustes de integración de telefonía de Exotel,1.0,,
rename,,Priority {0}: priority name is required,Priority {0}: Priority Name is required,Prioridad {0}: el nombre de la prioridad es obligatorio,1.0,{0},
rename,,Profile updated successfully,Profile Updated Successfully,Perfil actualizado correctamente,1.0,,
