tipo,confianza,entry_key,msgid,proposed,detalle
confianza_baja,baja,crm:13baa6b89bedbf8c,"<span class=""h5""><b>PORTAL</b></span>","<span class=""h5""><b>PORTAL</b></span>",propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:2e252d59ff60bcae,Color,Color,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:7bb179831f9c9e5b,General,General,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:1513c804ddfdd19c,Lead,Lead,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:bce05bb62c8f16f9,Logo,Logo,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:320f8d76dfe3bdb6,Manual,Manual,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:f708153b416de5a6,Normal,Normal,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:23e464592e61d857,Total,Total,propuesta == inglés sin ser igual-al-inglés
confianza_baja,baja,crm:c9f485af4daf88e2,{0} no,{0} no,propuesta == inglés sin ser igual-al-inglés
crossapp_divergente,media,crm:10598e86c5181443,Add a Note,Agregar una nota,aprobado: 'Añadir Nota'
crossapp_divergente,media,crm:a76db5757f77d7a0,All Day,Todo el Día,aprobado: 'Todo el día'
crossapp_divergente,media,crm:8960462bf27f549b,Brand Name,Nombre de la marca,aprobado: 'Nombre de la Marca'
crossapp_divergente,media,crm:6aad5938062806dd,Choose the days of the week when this rule should be active.,Elegir los días de la semana en los que esta regla debe esta,aprobado: 'Elija los días de la semana en los que esta r'
crossapp_divergente,media,crm:0b0d351ea6531aec,Company Description,Descripción de la empresa,aprobado: 'Descripción de la Empresa'
crossapp_divergente,media,crm:63b854a4faddfbda,Currency Precision,Precisión de moneda,aprobado: 'Precisión de monedas'
crossapp_divergente,media,crm:bbe7dd75c6bab468,Current Password,Contraseña actual,aprobado: 'Contraseña Actual'
crossapp_divergente,media,crm:6763440019785e6f,Discount Amount,Importe de descuento,aprobado: 'Importe de Descuento'
crossapp_divergente,media,crm:7ff7089de6dbfb6c,Email Account,Cuenta de correo electrónico,aprobado: 'Cuentas de correo electrónico'
crossapp_divergente,media,crm:7c7e35df45d42fee,From,Desde,aprobado: 'De'
crossapp_divergente,media,crm:1513c804ddfdd19c,Lead,Lead,aprobado: 'Prospecto'
crossapp_divergente,media,crm:a3bba99ed02cafa7,Lead Owner cannot be same as the Lead Email Address,El Responsable del Lead no puede ser el mismo que la direcci,aprobado: 'El responsable del Lead no puede ser el mismo'
crossapp_divergente,media,crm:699548af9a8150ca,Leads,Leads,aprobado: 'Prospectos'
crossapp_divergente,media,crm:aef327d604187bed,Medium,Medio,aprobado: 'Media'
crossapp_divergente,media,crm:44286148a5fe8d7f,New Event,Nuevo Evento,aprobado: 'Nuevo evento'
