entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
crm:479ad73e33c271bf,crm,crm,src,src,,Src, , ,,,,, ,,,,,frontend/src/pages/Deals.vue:357,frontend/src/pages/Deals.vue:357 || frontend/src/pages/Leads.vue:388,,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,msgid es solo un espacio; se preserva verbatim.,,,"POT-only: en el universo fresco, sin traducir"
crm:7025a3b17431b505,crm,crm,src,src,,Src, (New), (New),,, (Nuevo),, (Nuevo),,,,,frontend/src/components/ViewControls.vue:1199,frontend/src/components/ViewControls.vue:1199,frontend/src/components/ViewControls.vue:1176,client-js,,[],,,,,,,existente correcta,revisado inicial CRM,sí,sí,no,,Espacio inicial preservado.,,,
crm:30348e83b4daf423,crm,crm,src,src,,Src,%100%,%100%,,,,,%100%,,,,,frontend/src/components/Filter.vue:615,frontend/src/components/Filter.vue:615,,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,cross-app ejemplo literal de filtro,,,"POT-only: en el universo fresco, sin traducir"
crm:30f67aa4c0660750,crm,crm,src,src,,Src,%John%,%John%,,,,,%John%,,,,,frontend/src/components/Filter.vue:617,frontend/src/components/Filter.vue:617,frontend/src/components/Filter.vue:591,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,cross-app ejemplo literal de filtro,,,
crm:025703837bbac5fb,crm,crm,src,src,,Src,01/01/2022,01/01/2022,,,,,01/01/2022,,,,,frontend/src/components/Filter.vue:625,frontend/src/components/Filter.vue:625,,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,cross-app fecha ejemplo,,,"POT-only: en el universo fresco, sin traducir"
crm:0ddb651f7e265abe,crm,crm,src,src,,Src,01/01/2022 to 01/31/2022,01/01/2022 to 01/31/2022,,,,,01/01/2022 to 01/31/2022,,,,,frontend/src/components/Filter.vue:607,frontend/src/components/Filter.vue:607,frontend/src/components/Filter.vue:581,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,cross-app rango ejemplo literal,,,
crm:95131792c6a5f32c,crm,crm,src,src,,Src,01/04/2024 11:30 PM,01/04/2024 11:30 PM,,,01/04/2024 11:30 PM,,01/04/2024 11:30 PM,,,,,frontend/src/components/Telephony/TaskPanel.vue:71,frontend/src/components/Telephony/TaskPanel.vue:71,frontend/src/components/Telephony/TaskPanel.vue:71,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,"ejemplo de fecha/hora, no se traduce",,,
crm:9ce03d5efd98f796,crm,crm,src,src,,Src,08:00 AM,08:00 AM,,,,,08:00 AM,,,,,frontend/src/components/Calendar/EventNotifications.vue:39,frontend/src/components/Calendar/EventNotifications.vue:39,frontend/src/components/Calendar/EventNotifications.vue:39,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,sí,no,,"Ejemplo de hora, no se traduce.",,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:eed5c2fbc4ef10c5,crm,crm,src,src,,Src,08:00 pm,08:00 pm,,,,,08:00 pm,,,,,frontend/src/components/Settings/CalendarSettings.vue:226,frontend/src/components/Settings/CalendarSettings.vue:226,frontend/src/components/Settings/CalendarSettings.vue:226,client-js,,[],,,,,,,igual al inglés válida,revisado inicial CRM,sí,no,no,,Valor de hora literal; no se traduce.,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:8d1a2ff54a535b31,crm,crm,src,src,,Src,1 hour ago,1 hour ago,,,Hace una hora,,Hace una hora,,,,,frontend/src/utils/index.js:204,frontend/src/utils/index.js:204,frontend/src/utils/index.js:204,client-js,,[],,,,,,,existente correcta,revisado inicial CRM,sí,sí,no,,Cross-app aprobado exacto.,1 hour ago,Hace una hora,
