entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
crm:2358881db1812aec,crm,crm,src,src,,Src,(No Title),(No Title),,,(Sin título),,(Sin título),,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:66,frontend/src/components/Calendar/CalendarEventPanel.vue:66,frontend/src/components/Calendar/CalendarEventPanel.vue:66,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:c617f4aacf1be0a0,crm,crm,src,src,,Src,1 hr,1 hr,,,1 hora,,1 hora,,,,,frontend/src/composables/event.js:207,frontend/src/composables/event.js:207,frontend/src/composables/event.js:207,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,Cross-app aprobado exacto.,1 hr,1 hora,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:db5405d7225293f3,crm,crm,templates,templates,,Templates,A new account has been created for you at {0},A new account has been created for you at {0},,,Una nueva cuenta ha sido creada para usted en {0},,Se ha creado una nueva cuenta para usted en {0},,,,,crm/templates/emails/helpdesk_invitation.html:5,crm/templates/emails/helpdesk_invitation.html:5,crm/templates/emails/helpdesk_invitation.html:5,jinja-html,,[],{0},{0},{0},ok,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,Cross-app aprobado exacto. Placeholder {0} preservado. Corrijo orden upstream.,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:e1b5f2f4731ee252,crm,crm,src,src,,Src,Add Attendee,Add Attendee,,,,,Agregar asistente,,,,,frontend/src/components/Calendar/Attendee.vue:122,frontend/src/components/Calendar/Attendee.vue:122,frontend/src/components/Calendar/Attendee.vue:122,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,Attendees->Asistentes (crossapp).,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:0bb546c2ec6a35a3,crm,crm,src,src,,Src,Add Description,Add Description,,,,,Agregar descripción,,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:389,frontend/src/components/Calendar/CalendarEventPanel.vue:389,frontend/src/components/Calendar/CalendarEventPanel.vue:389,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:8b25be3dd8e8b7c2,crm,crm,src,src,,Src,Add Description.,Add Description.,,,,,Agregar descripción.,,,,,frontend/src/components/Modals/EventModal.vue:179,frontend/src/components/Modals/EventModal.vue:179,frontend/src/components/Modals/EventModal.vue:179,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,Punto final preservado.,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:2c58826723b8e6f0,crm,crm,src,src,,Src,Add Lead or Deal,Add Lead or Deal,,,Añadir Cliente Potencial o Acuerdo,,Agregar Lead o Deal,,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:430,frontend/src/components/Calendar/CalendarEventPanel.vue:430,frontend/src/components/Calendar/CalendarEventPanel.vue:430,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,no,no,,Revierte 'Cliente Potencial o Acuerdo'->Lead/Deal protegidos.,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:0630e8c50248aaa2,crm,crm,src,src,,Src,Add Location,Add Location,,,,,Agregar ubicación,,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:377,frontend/src/components/Calendar/CalendarEventPanel.vue:377 || frontend/src/components/Modals/EventModal.vue:166,frontend/src/components/Calendar/CalendarEventPanel.vue:377 || frontend/src/components/Modals/EventModal.vue:166,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:cee4ba03f9161b0d,crm,crm,src,src,,Src,Add Notification,Add Notification,,,,,Agregar notificación,,,,,frontend/src/components/Calendar/EventNotifications.vue:67,frontend/src/components/Calendar/EventNotifications.vue:67 || frontend/src/components/Calendar/EventNotifications.vue:128 || frontend/src/components/Calendar/EventNotifications.vue:232 || frontend/src/components/Settings/CalendarSettings.vue:143 || frontend/src/components/Settings/CalendarSettings.vue:243,frontend/src/components/Calendar/EventNotifications.vue:67 || frontend/src/components/Calendar/EventNotifications.vue:128 || frontend/src/components/Calendar/EventNotifications.vue:232 || frontend/src/components/Settings/CalendarSettings.vue:143 || frontend/src/components/Settings/CalendarSettings.vue:243,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
crm:a76db5757f77d7a0,crm,crm,src,src,,Src,All Day,All Day,,,Todo el Día,,Todo el día,,,,,frontend/src/components/Calendar/CalendarEventPanel.vue:294,frontend/src/components/Calendar/CalendarEventPanel.vue:294 || frontend/src/components/Calendar/CalendarEventPanel.vue:940 || frontend/src/components/EventNotificationPopup.vue:93 || frontend/src/components/EventNotificationsArea.vue:188 || frontend/src/components/Modals/EventModal.vue:71 || frontend/src/composables/event.js:166,frontend/src/components/Calendar/CalendarEventPanel.vue:294 || frontend/src/components/Calendar/CalendarEventPanel.vue:940 || frontend/src/components/EventNotificationPopup.vue:93 || frontend/src/components/EventNotificationsArea.vue:188 || frontend/src/components/Modals/EventModal.vue:71 || frontend/src/composables/event.js:166,client-js,,[],,,,,,,po_huérfana_o_obsoleta,revisado inicial CRM,sí,sí,no,,crossapp 'All Day'->'Todo el día'. | convergencia global Gettext v0.3.0,,,"PO-only: en es.po, ausente del POT fresco -> huérfana/obsoleta; NO usar sin validación"
