app,module,source_text,current_translation,proposed_translation,context,source_reference,doctype_or_view,field_or_action,translation_context,status,notes,msgctxt,po_reference,v15_reference
hrms,Payroll,Leave,Salir,Ausencia,"En HR 'Leave' es la ausencia/permiso laboral, no la acción de salir. La traducción actual 'Salir' es un error de contexto.",hrms/payroll/doctype/payroll_settings/payroll_settings.json,Payroll Settings,field label,laboral,existente mejorable,"Caso testigo de ambigüedad: mismo 'Leave' como verbo (salir) vs sustantivo (ausencia). Requiere msgctxt si coexisten.",,hrms/hrms/locale/es.po,revisar es-MX.csv v15
erpnext,Selling,Return,Retornar,Devolución,"En ventas/compras 'Return' es una devolución de mercancía (nota de crédito), no la acción de retornar.",erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json,Subcontracting Receipt,button/action,comercial,conflicto de contexto,"Puede ser 'Devolución' (documento) o 'Retornar' (acción). Separar por msgctxt si ambos usos existen.",,erpnext/erpnext/locale/es.po,
erpnext,Accounts,Posting Date,Fecha de Contabilización,Fecha de Contabilización,"Fecha en que el asiento afecta la contabilidad. Término contable correcto en MX.",erpnext/templates/form_grid/bank_reconciliation_grid.html:6,varios,field label,contable,existente correcta,Mantener; coherente con vocabulario contable mexicano.,,erpnext/erpnext/locale/es.po,
erpnext,Support,Issue,Incidencia,Incidencia,"En soporte 'Issue' es un ticket/incidencia. Correcto.",erpnext/workspace_sidebar/support.json,Issue,workspace,operativo,existente correcta,"Ojo: 'Issue' como verbo (emitir) en otro contexto requeriría fila separada con msgctxt.",,erpnext/erpnext/locale/es.po,
hrms,HR,Leave Application,Solicitud de vacaciones,Solicitud de ausencia,"'Leave' cubre vacaciones y otros permisos (enfermedad, sin goce). 'Ausencia' es más preciso que 'vacaciones'.",hrms/hr/workspace/leaves/leaves.json,Leave Application,DocType title,laboral,existente mejorable,Decisión de terminología a confirmar con usuario (ausencia vs permiso vs licencia).,,hrms/hrms/locale/es.po,
frappe,Core,Submit,,Enviar,"Acción de confirmar/enviar un documento (transición a estado 'Submitted').",frappe/(varios),varios,button/action,operativo,traducción propuesta,"'Submit' en Frappe = confirmar documento; 'Enviar' es el uso establecido. Candidata a contribución al core.",,frappe/frappe/locale/es.po,
frappe,Core,Cancel,,Cancelar,Acción de cancelar un documento confirmado.,frappe/(varios),varios,button/action,operativo,traducción propuesta,Candidata a contribución al core (genérica).,,frappe/frappe/locale/es.po,
crm,CRM,Deal,,Oportunidad,"En CRM 'Deal' es la oportunidad comercial. En MX 'Oportunidad' es más común que 'Trato'.",crm/(fcrm),CRM Deal,DocType title,comercial,traducción propuesta,Terminología MX: 'Oportunidad' preferible a 'Trato'/'Negocio'.,,crm/crm/locale/es.po,
helpdesk,Helpdesk,Ticket,,Ticket,"'Ticket' de soporte. Anglicismo aceptado en MX; alternativa 'Caso'.",helpdesk/(desk),HD Ticket,DocType title,operativo,ambigua,"¿'Ticket' (anglicismo aceptado) o 'Caso'? Requiere decisión de estilo.",,helpdesk/helpdesk/locale/es.po,
erpnext,Stock,"{0} units of {1} needed in {2}",,"Se necesitan {0} unidades de {1} en {2}","Mensaje de validación de inventario con placeholders posicionales.",erpnext/stock/(varios),Stock Entry,validation message,operativo,traducción propuesta,"Preservar placeholders {0} {1} {2} y su orden. No traducir literal palabra por palabra.",,erpnext/erpnext/locale/es.po,
