class,decision,ctx,msgid_old,tr_old,msgid_new,proposed_translation,similarity,placeholders,needs_human
nueva,traducir nueva,,,,"<p>Dear {{ lead_name }},</p>

<p>This is a reminder for the payment of {{ grand_total }}.</p>

<p>Thanks,</p>
<p>Frappé</p>","<p>Estimado(a) {{ lead_name }},</p>

<p>Este es un recordatorio para el pago de {{ grand_total }}.</p>

<p>Gracias,</p>
<p>Frappé</p>",,{{ grand_total };{{ lead_name },resuelto (revisado con usuario)
nueva,traducir nueva,,,,Automatically sets communication status to “Open” for the lead or deal when a new communication is created. Applies only when SLA is enabled,Establece automáticamente el estado de comunicación en “Open” para el lead o deal cuando se crea una nueva comunicación. Aplica solo cuando el SLA está habilitado,,,resuelto (revisado con usuario)
nueva,traducir nueva,,,,Automatically sets communication status to “Replied” for the lead or deal when a response is received. Applies only when SLA is enabled,Establece automáticamente el estado de comunicación en “Replied” para el lead o deal cuando se recibe una respuesta. Aplica solo cuando el SLA está habilitado,,,resuelto (revisado con usuario)
nueva,traducir nueva,,,,Bidirectional Product Sync,Sincronización bidireccional de productos,,,
nueva,traducir nueva,,,,"Could not save, try again","No se pudo guardar, inténtelo de nuevo",,,
nueva,traducir nueva,,,,Current icon,Icono actual,,,
nueva,traducir nueva,,,,"Dear {{ lead_name }}, 

This is a reminder for the payment of {{ grand_total }}. 

Thanks, 
Frappé","Estimado(a) {{ lead_name }}, 

Este es un recordatorio para el pago de {{ grand_total }}. 

Gracias, 
Frappé",,{{ grand_total };{{ lead_name },resuelto (revisado con usuario)
nueva,traducir nueva,,,,"Document ID, not the full name","ID del documento, no el nombre completo",,,
nueva,traducir nueva,,,,Edit deal's mandatory fields layout,Editar el diseño de campos obligatorios del deal,,,
nueva,traducir nueva,,,,Email address added,Dirección de correo agregada,,,
nueva,traducir nueva,,,,Email address removed,Dirección de correo eliminada,,,
nueva,traducir nueva,,,,Email address updated,Dirección de correo actualizada,,,
nueva,traducir nueva,,,,ERPNext Items always sync into CRM Products. Turn this on to also sync CRM Product changes back to ERPNext Items.,Los artículos de ERPNext siempre se sincronizan con los productos del CRM. Active esto para sincronizar también los cambios de productos del CRM de vuelta a los artículos de ERPNext.,,,
nueva,traducir nueva,,,,"Hi John, 

Can you please provide more details on this...","Hola John, 

¿Podría darme más detalles sobre esto...",,,resuelto (revisado con usuario)
nueva,traducir nueva,,,,Invalid recording URL,URL de grabación no válida,,,
nueva,traducir nueva,,,,item,artículo,,,resuelto (revisado con usuario)
nueva,traducir nueva,,,,Item Group,Grupo de artículos,,,
nueva,traducir nueva,,,,items,artículos,,,
nueva,traducir nueva,,,,Manual Sync,Sincronización manual,,,
nueva,traducir nueva,,,,Mobile number added,Número de móvil agregado,,,
nueva,traducir nueva,,,,Mobile number removed,Número de móvil eliminado,,,
nueva,traducir nueva,,,,Mobile number updated,Número de móvil actualizado,,,
nueva,traducir nueva,,,,Personal Mobile Number,Número de móvil personal,,,
nueva,traducir nueva,,,,Please enter a valid email address,Ingrese una dirección de correo válida,,,
nueva,traducir nueva,,,,Please enter a valid phone number,Ingrese un número de teléfono válido,,,
nueva,traducir nueva,,,,Primary email address updated,Dirección de correo principal actualizada,,,
nueva,traducir nueva,,,,Primary mobile number updated,Número de móvil principal actualizado,,,
nueva,traducir nueva,,,,product,producto,,,
nueva,traducir nueva,,,,Product sync started.,Sincronización de productos iniciada.,,,
nueva,traducir nueva,,,,products,productos,,,
nueva,traducir nueva,,,,Recording not available,Grabación no disponible,,,
nueva,traducir nueva,,,,Recording URL is not allowed,La URL de grabación no está permitida,,,
nueva,traducir nueva,,,,Replace with an icon...,Reemplazar con un icono...,,,
nueva,traducir nueva,,,,Run a manual bi-directional sync between ERPNext Items and CRM Products.,Ejecute una sincronización bidireccional manual entre los artículos de ERPNext y los productos del CRM.,,,
nueva,traducir nueva,,,,Run a manual synchronization to pull the latest Items from ERPNext.,Ejecute una sincronización manual para traer los artículos más recientes de ERPNext.,,,
nueva,traducir nueva,,,,Select an icon...,Seleccione un icono...,,,
nueva,traducir nueva,,,,Select Country to see state options,Seleccione un país para ver las opciones de estado,,,resuelto (revisado con usuario)
nueva,traducir nueva,,,,Too many redirects while fetching recording,Demasiadas redirecciones al obtener la grabación,,,
nueva,traducir nueva,,,,Type an email address to invite,Escriba una dirección de correo para invitar,,,
nueva,traducir nueva,,,,{0} not yet synced,{0} aún no sincronizado,,{0},
rename,reusar,,Sync Successful!,¡Sincronización exitosa!,Sync successful!,¡Sincronización exitosa!,1.0,,
rename,reusar,,Please enter the {0} Access Key.,Ingrese la clave de acceso de {0}.,Please enter the {0} access key.,Ingrese la clave de acceso de {0}.,1.0,{0},
rename,reusar,,Template Deleted Successfully,Plantilla eliminada correctamente,Template deleted successfully,Plantilla eliminada correctamente,1.0,,
rename,reusar,,Error Syncing Lead,Error al sincronizar el Lead,Error syncing lead,Error al sincronizar el Lead,1.0,,
rename,reusar,,Configure your Exotel Telephony Integration Settings here,Configure aquí los ajustes de integración de telefonía de Exotel,Configure your Exotel telephony integration settings here,Configure aquí los ajustes de integración de telefonía de Exotel,1.0,,
rename,reusar,,Priority {0}: Priority Name is required,Prioridad {0}: el nombre de la prioridad es obligatorio,Priority {0}: priority name is required,Prioridad {0}: el nombre de la prioridad es obligatorio,1.0,{0},
rename,reusar,,Profile Updated Successfully,Perfil actualizado correctamente,Profile updated successfully,Perfil actualizado correctamente,1.0,,
rename,reusar,,Assignment Rule Created,Regla de asignación creada,Assignment rule created,Regla de asignación creada,1.0,,
rename,reusar,,Select a Twilio App for your CRM,Seleccione una app de Twilio para su CRM,Select a Twilio app for your CRM,Seleccione una app de Twilio para su CRM,1.0,,
rename,reusar,,Sales Hierarchy disabled,Jerarquía de ventas deshabilitada,Sales hierarchy disabled,Jerarquía de ventas deshabilitada,1.0,,
rename,reusar,,Access Key for {0}. Required for fetching exchange rates.,Clave de acceso para {0}. Necesaria para obtener los tipos de cambio.,Access key for {0}. Required for fetching exchange rates.,Clave de acceso para {0}. Necesaria para obtener los tipos de cambio.,1.0,{0},
rename,reusar,,Assignment Rule {0} Updated,Regla de asignación {0} actualizada,Assignment rule {0} updated,Regla de asignación {0} actualizada,1.0,{0},
rename,reusar,,Email Account created successfully,Cuenta de correo creada correctamente,Email account created successfully,Cuenta de correo creada correctamente,1.0,,
rename,reusar,,"I understand, Add Conditions","Entiendo, agregar condiciones","I understand, add conditions","Entiendo, agregar condiciones",1.0,,
