entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
erpnext:7051db3ab8b057f9,erpnext,erpnext,stock,stock,,Inventarios,"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in the batch {0} or in the Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in the batch {0} or in the Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.",,,,,"
			El lote {0} de un artículo {1} tiene existencias negativas en el almacén {2}{3}.
			Agregue una cantidad de existencias de {4} para continuar con este movimiento.
			Si no es posible hacer un asiento de ajuste, habilite 'Permitir existencias negativas para el lote' en el lote {0} o en la Configuración de Inventario para continuar.
			Sin embargo, habilitar esta configuración puede provocar existencias negativas en el sistema.
			Por lo tanto, asegúrese de ajustar los niveles de existencias lo antes posible para mantener la tasa de valoración correcta.",,,,,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1642,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1642,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1641,doctype-controller,Serial And Batch Bundle,[],{0};{0};{1};{2};{3};{4},,{0};{0};{1};{2};{3};{4},ok,,,traducción propuesta,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:aa696f8585e8db92,erpnext,erpnext,setup,setup,,Configuración,  ,  ,,,,,  ,,Label of the column_break_32 (Column Break) field in DocType 'Email Digest',etiqueta de campo/elemento,,erpnext/setup/doctype/email_digest/email_digest.json,erpnext/setup/doctype/email_digest/email_digest.json,erpnext/setup/doctype/email_digest/email_digest.json,doctype-json,Email Digest,"[""Label of the column_break_32 (Column Break) field in DocType 'Email Digest'""]",,,,,,,igual al inglés válida,revisado segunda revisión ERPNext operaciones,sí,,,,Solo espacios en blanco; se preserva.,,,
erpnext:6f764d79b9dc7c18,erpnext,erpnext,selling,selling,,Ventas, Address, Address,,, Dirección,, Dirección,,,,,erpnext/selling/doctype/quotation/quotation.js:82,erpnext/selling/doctype/quotation/quotation.js:82,erpnext/selling/doctype/quotation/quotation.js:82,doctype-controller,Quotation,[],,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:f5c3ad55ff7afd5f,erpnext,erpnext,public,public,,Public, BOM, BOM,,, LdM,, LdM,,,,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:114,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:114,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:114,client-js,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:7b86528787890140,erpnext,erpnext,setup,setup,,Configuración, Default Work In Progress Warehouse , Default Work In Progress Warehouse ,,, Almacén predeterminado de trabajos en proceso ,, Almacén predeterminado de trabajos en proceso ,,Label of the default_wip_warehouse (Link) field in DocType 'Company',etiqueta de campo/elemento,,erpnext/setup/doctype/company/company.json,erpnext/setup/doctype/company/company.json,erpnext/setup/doctype/company/company.json,doctype-json,Company,"[""Label of the default_wip_warehouse (Link) field in DocType 'Company'""]",,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:eac5f87f11ec7296,erpnext,erpnext,stock,stock,,Inventarios, Is Child Table, Is Child Table,,, Es una tabla secundaria,, Es una tabla secundaria,,Label of the istable (Check) field in DocType 'Inventory Dimension',etiqueta de campo/elemento,,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json,doctype-json,Inventory Dimension,"[""Label of the istable (Check) field in DocType 'Inventory Dimension'""]",,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:2fb767e60a91be3e,erpnext,erpnext,manufacturing,manufacturing,,Manufactura, Is Subcontracted, Is Subcontracted,,, Es sub-contratado,, Es sub-contratado,,Label of the is_subcontracted (Check) field in DocType 'Job Card',etiqueta de campo/elemento,,erpnext/manufacturing/doctype/job_card/job_card.json,erpnext/manufacturing/doctype/job_card/job_card.json,erpnext/manufacturing/doctype/job_card/job_card.json,doctype-json,Job Card,"[""Label of the is_subcontracted (Check) field in DocType 'Job Card'""]",,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,,,,,,,
erpnext:e90790e7b9890ba5,erpnext,erpnext,public,public,,Public, Item, Item,,, Producto,, Artículo,,,,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:196,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:196,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:196,client-js,,[],,,,,,,existente mejorable,revisado segunda revisión ERPNext operaciones,sí,sí,,,Item->Artículo,,,
erpnext:656a92cf8c8acf70,erpnext,erpnext,public,public,,Public, Phantom Item, Phantom Item,,, Objeto fantasma,, Artículo Fantasma,,,,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:144,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:144 || erpnext/public/js/bom_configurator/bom_configurator.bundle.js:185,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:144 || erpnext/public/js/bom_configurator/bom_configurator.bundle.js:185,client-js,,[],,,,,,,existente mejorable,revisado segunda revisión ERPNext operaciones,sí,sí,,,,,,
erpnext:4abca1930661ebae,erpnext,erpnext,public,public,,Public, Raw Material, Raw Material,,, Materia Prima,, Materia Prima,,,,,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:122,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:122,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:122,client-js,,[],,,,,,,existente correcta,revisado segunda revisión ERPNext operaciones,sí,sí,,,Traducción existente correcta y consistente.,,,
